Hidden Units,Learning Rate,Error
10,0.9,1.0000868296926106
10,0.8,1.0000149893801038
10,0.7,1.0000039004501746
10,0.6,1.0000398746018129
10,0.5,1.0000078073164942
10,0.4,1.0000080616599158
10,0.3,1.0000016279095425
10,0.2,0.9999691465589043
10,0.1,0.9999903788461624
20,0.9,0.9999891839119168
20,0.8,1.0000049680706131
20,0.7,0.9999906531657523
20,0.6,1.0000449369284024
20,0.5,1.000088478600726
20,0.4,1.000027805788423
20,0.3,1.000000013532546
20,0.2,0.9999942498582539
20,0.1,1.0000194681419523
30,0.9,1.0000110051023603
30,0.8,1.0000232206463484
30,0.7,1.0001082426928403
30,0.6,0.9999860913437955
30,0.5,1.000111023940192
30,0.4,1.0000790729183924
30,0.3,1.000032513483371
30,0.2,1.000027306529546
30,0.1,1.0000381503366695
40,0.9,1.0000066736321784
40,0.8,1.0000108335429767
40,0.7,1.0000749233450024
40,0.6,1.00002743979922
40,0.5,1.0000394649603894
40,0.4,0.9999778038721642
40,0.3,1.0000565254371752
40,0.2,1.0002344810889399
40,0.1,1.0007646982294442
50,0.9,0.9999961986594007
50,0.8,1.0000357566178248
50,0.7,1.0000496081220231
50,0.6,1.0000051711063644
50,0.5,1.0000707840164202
50,0.4,1.0000222329510957
50,0.3,1.000205924769526
50,0.2,1.000081030213424
50,0.1,1.0005068240803359
60,0.9,0.9999577453930772
60,0.8,1.00006684159441
60,0.7,1.0000001794134494
60,0.6,1.0000423783257582
60,0.5,1.0000123832141457
60,0.4,1.000038403579816
60,0.3,1.000115359386644
60,0.2,1.0000895639072582
60,0.1,1.0003836661551346
